ts_open,ts_close,side,entry,exit,qty,sl,tp,reason
1760410380,1760410800,SELL,1.15658,1.15665647669938,462386.98,1.15665647669938,1.1564270466012396,ema_cross_dn
1760414400,1760414520,BUY,1.15627,1.1561456376256418,280773.24,1.1561456376256418,1.156518724748716,ema_cross_up
1760430060,1760430420,SELL,1.15827,1.1583739633854695,332623.97,1.1583739633854695,1.1580620732290607,ema_cross_dn
1760430960,1760431080,BUY,1.15886,1.158736231155974,276444.18,1.158736231155974,1.1591075376880522,ema_cross_up
1760432160,1760432400,SELL,1.15842,1.1585867127290628,203247.35,1.1585867127290628,1.1580865745418747,ema_cross_dn
1760441640,1760441820,BUY,1.15583,1.1556295270858772,167587.62,1.1556295270858772,1.1562309458282451,ema_cross_up
1760442660,1760442900,SELL,1.15531,1.155537769057531,146340.96,1.155537769057531,1.1548544618849381,ema_cross_dn
1760443140,1760443200,BUY,1.15584,1.1556474969629256,171845.33,1.1556474969629256,1.156225006074149,ema_cross_up
1760446320,1760446860,SELL,1.15547,1.15565485608679,177522.05,1.15565485608679,1.1551002878264198,ema_cross_dn
1760452020,1760452080,BUY,1.15554,1.1553765842786012,199181.51,1.1553765842786012,1.1558668314427976,ema_cross_up
1760453880,1760454000,SELL,1.15503,1.155230951140346,160594.08,1.155230951140346,1.154628097719308,ema_cross_dn
1760454360,1760454420,BUY,1.15538,1.1551651204531768,149001.89,1.1551651204531768,1.155809759093647,ema_cross_up
1760456460,1760456580,SELL,1.15507,1.155304212390561,135651.64,1.155304212390561,1.1546015752188783,ema_cross_dn
1760457960,1760458320,BUY,1.15589,1.1563146745169832,148509.48,1.1556776627415086,1.1563146745169832,ema_cross_up
1760472840,1760473320,SELL,1.16032,1.1605169989528625,161237.44,1.1605169989528625,1.159926002094275,ema_cross_dn
1760475000,1760475120,BUY,1.16077,1.1610375649850353,235540.87,1.1606362175074825,1.1610375649850353,ema_cross_up
1760476560,1760476920,SELL,1.16038,1.1605282247278805,213794.64,1.1605282247278805,1.1600835505442386,ema_cross_dn
1760478240,1760478480,BUY,1.16073,1.1606205959878657,287075.05,1.1606205959878657,1.1609488080242685,ema_cross_up
1760478660,1760478780,SELL,1.16049,1.1606134478787014,251794.68,1.1606134478787014,1.1602431042425974,ema_cross_dn
1760479500,1760479620,BUY,1.16073,1.1606082684165242,252867.81,1.1606082684165242,1.1609734631669517,ema_cross_up
1760480160,1760480400,SELL,1.16044,1.1605498467693716,277489.57,1.1605498467693716,1.1602203064612564,ema_cross_dn
1760480520,1760480640,BUY,1.16077,1.1606601559983214,274643.32,1.1606601559983214,1.1609896880033577,ema_cross_up
1760481000,1760481060,SELL,1.16052,1.1606153492337234,313140.25,1.1606153492337234,1.1603293015325533,ema_cross_dn
1760481300,1760481420,BUY,1.16069,1.160874054534706,320847.2,1.160597972732647,1.160874054534706,ema_cross_up
1760481720,1760481780,SELL,1.16049,1.1606405288365138,196877.6,1.1606405288365138,1.1601889423269724,ema_cross_dn
1760485920,1760486280,BUY,1.16053,1.160681327728091,388208.3,1.1604543361359547,1.160681327728091,ema_cross_up
1760491320,1760491680,SELL,1.16054,1.1605,553383.75,1.1605932032425865,1.1604335935148267,ema_cross_dn
